category,name,product_id,product_url,image_url,other_images,full_price,discount_price,stock,color,tag(s),filename
c-men,'KENZO Orange' raglan T-shirt,FE55TS1434SI.39,https://www.kenzo.com/en-us/kenzo-orange-raglan-t-shirt/FE55TS1434SI.39.html,https://media.kenzo.com/b2cprd/FE55TS1434SI.39_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55TS1434SI.39_H_01.jpg?twic=v1/cover=4:5/resize=706,$245,$172,,,,c-men.html
c-men,'KENZO by Verdy' genderless varsity jacket,FE58BL1459OH.51,https://www.kenzo.com/en-us/kenzo-by-verdy-genderless-varsity-jacket/FE58BL1459OH.51.html,https://media.kenzo.com/b2cprd/FE58BL1459OH.51_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58BL1459OH.51_F_01.jpg?twic=v1/cover=4:5/resize=706,"$2,035",,,,,c-men.html
c-men,Kimono suit jacket,FD65VE1309GE.77,https://www.kenzo.com/en-us/kimono-suit-jacket/FD65VE1309GE.77.html,https://media.kenzo.com/b2cprd/FD65VE1309GE.77_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD65VE1309GE.77_H_01.jpg?twic=v1/cover=4:5/resize=706,"$1,070",,Out of Stock,"dark beige, midnight blue",,c-men.html
c-men,Denim kimono jacket,FE55DV1416E4.DT,https://www.kenzo.com/en-us/denim-kimono-jacket/FE55DV1416E4.DT.html,https://media.kenzo.com/b2cprd/FE55DV1416E4.DT_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55DV1416E4.DT_H_01.jpg?twic=v1/cover=4:5/resize=706,$610,,,,,c-men.html
c-men,'KENZO by Verdy' classic short,FE55PA8204MG.75,https://www.kenzo.com/en-us/kenzo-by-verdy-classic-short/FE55PA8204MG.75.html,https://media.kenzo.com/b2cprd/FE55PA8204MG.75_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55PA8204MG.75_H_01.jpg?twic=v1/cover=4:5/resize=706,$340,,,"deep sea blue, pearl grey",,c-men.html
c-men,Straight-cut genderless ARMY jeans,FE58DP3756N1.DM,https://www.kenzo.com/en-us/straight-cut-genderless-army-jeans/FE58DP3756N1.DM.html,https://media.kenzo.com/b2cprd/FE58DP3756N1.DM_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58DP3756N1.DM_F_02.jpg?twic=v1/cover=4:5/resize=706,$610,$366,,,,c-men.html
c-men,'KENZO Creations' cropped Asagao straight jeans,FE55DPP336W4.WT,https://www.kenzo.com/en-us/kenzo-creations-cropped-asagao-straight-jeans/FE55DPP336W4.WT.html,https://media.kenzo.com/b2cprd/FE55DPP336W4.WT_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55DPP336W4.WT_H_03.jpg?twic=v1/cover=4:5/resize=706,$475,,,,,c-men.html
c-men,'KENZO Elephant' embroidered sweatshirt,FE55SW1884MF.47,https://www.kenzo.com/en-us/kenzo-elephant-embroidered-sweatshirt/FE55SW1884MF.47.html,https://media.kenzo.com/b2cprd/FE55SW1884MF.47_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55SW1884MF.47_H_01.jpg?twic=v1/cover=4:5/resize=706,$395,$277,,"almond green, black",,c-men.html
c-men,'Boke Flower' sweatshirt,FD55SW4454ME.77,https://www.kenzo.com/en-us/boke-flower-sweatshirt/FD55SW4454ME.77.html,https://media.kenzo.com/b2cprd/FD55SW4454ME.77_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55SW4454ME.77_P_02.jpg?twic=v1/cover=4:5/resize=706,$395,,,"midnight blue, pale grey, black",,c-men.html
c-men,'KENZO Drawn Varsity' shorts,FE55PA8064MF.99J,https://www.kenzo.com/en-us/kenzo-drawn-varsity-shorts/FE55PA8064MF.99J.html,https://media.kenzo.com/b2cprd/FE55PA8064MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE55PA8064MF.99J_H_05.jpg?twic=v1/cover=4:5/resize=706,$300,$210,,"pale grey, black",,c-men.html
c-men,'Boke Flower' embroidered shorts,FC65PA7944MF.99J,https://www.kenzo.com/en-us/boke-flower-embroidered-shorts/FC65PA7944MF.99J.html,https://media.kenzo.com/b2cprd/FC65PA7944MF.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FC65PA7944MF.99J_H_03.jpg?twic=v1/cover=4:5/resize=706,$300,,,"pale grey, black",,c-men.html
c-men,'Year of the Dragon' genderless cardigan,FE58SW0064ME.99J,https://www.kenzo.com/en-us/year-of-the-dragon-genderless-cardigan/FE58SW0064ME.99J.html,https://media.kenzo.com/b2cprd/FE58SW0064ME.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58SW0064ME.99J_F_01.jpg?twic=v1/cover=4:5/resize=706,$530,$371,,,,c-men.html
c-men,BARA slim jeans,FD55DP1016C1.BM,https://www.kenzo.com/en-us/bara-slim-jeans/FD55DP1016C1.BM.html,https://media.kenzo.com/b2cprd/FD55DP1016C1.BM_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55DP1016C1.BM_H_01.jpg?twic=v1/cover=4:5/resize=706,$395,$237,,,,c-men.html
c-men,'Boke Flower' embroidered classic sweatshirt,FD55SW4404MF.63,https://www.kenzo.com/en-us/boke-flower-embroidered-classic-sweatshirt/FD55SW4404MF.63.html,https://media.kenzo.com/b2cprd/FD55SW4404MF.63_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FD55SW4404MF.63_H_01.jpg?twic=v1/cover=4:5/resize=706,$340,,,"pale grey, black, light blue",,c-men.html
c-men,'Year of the Dragon' embroidered genderless cardigan,FE58CA0043BP.99J,https://www.kenzo.com/en-us/year-of-the-dragon-embroidered-genderless-cardigan/FE58CA0043BP.99J.html,https://media.kenzo.com/b2cprd/FE58CA0043BP.99J_P_01.jpg?twic=v1/cover=4:5/resize=706,https://media.kenzo.com/b2cprd/FE58CA0043BP.99J_F_01.jpg?twic=v1/cover=4:5/resize=706,$935,$561,,,,c-men.html
