category,name,product_id,product_url,image_url,full_price,discount_price,filename
mens-shoes,"Diamond Shoulder East-West S
    BAMBOO/GOLD",DIAMONDSHLDREWSMHRB121890,/en/women/accessories/diamond-shoulder-east-west-s/bamboo-lizard-print-mini-shoulder-bag-DIAMONDSHLDREWSMHRB121890.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/DIAMONDSHLDREWSMHRB_121890_FRONT_vg418.jpg","$1,295
    Regular Price",None,mens-shoes.html
mens-shoes,"Skye 70
    SUNBLEACHED YELLOW",SKYE70SAT072593,/en/women/shoes/skye-70/yellow-satin-sandals-SKYE70SAT072593.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/SKYE70SAT_072593_SIDE_vg388.jpg","$775
    Regular Price",None,mens-shoes.html
mens-shoes,"Diamond Top Handle
    BAMBOO/GOLD",DIAMONDTOPHANDLEHRB121890,/en/women/handbags/diamond-top-handle/bamboo-lizard-print-top-handle-bag-DIAMONDTOPHANDLEHRB121890.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/DIAMONDTOPHANDLEHRB_121890_FRONT_vg388.jpg","$2,395
    Regular Price",None,mens-shoes.html
mens-shoes,"Ayla 110
    ROCCIA",AYLA110CUU120017,/en/women/shoes/ayla-110/roccia-snake-print--wedge-AYLA110CUU120017.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/AYLA110CUU_120017_SIDE_vg402.jpg","$895
    Regular Price",None,mens-shoes.html
mens-shoes,"Cinch M
    LATTE/GOLD",BONBONBCKTEWHUT000702,/en/women/handbags/cinch-m/latte-leather-bag-BONBONBCKTEWHUT000702.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/BONBONBCKTEWHUT_000702_FRONT_vg404.jpg","$1,895
    Regular Price",None,mens-shoes.html
mens-shoes,"Palma Maxi/F
    X SUNBLEACHED YELLOW/LATTE",PALMAMAXIFCYE072605,/en/women/shoes/palma-maxi-f/yellow-canvas-platform-trainers-PALMAMAXIFCYE072605.html,"https://media.jimmychoo.com/image/upload/c_fit,dpr_2.0,f_auto,h_300,q_auto:best,w_300/USPROD_PRODUCT/images/original/PALMAMAXIFCYE_072605_SIDE_vg394.jpg","$595
    Regular Price",None,mens-shoes.html
mens-shoes,"Jimmy Choo / Malbon Diamond Golf/M
    X LATTE/NAVY",JCXMALBONDIAMONDMMQJ043720,/en/men/shoes/jimmy-choo-malbon-diamond-golf-m/latte-and-navy-leather-trainers-JCXMALBONDIAMONDMMQJ043720.html?cgid=men-shoes,None,$795,None,mens-shoes.html
mens-shoes,"Jimmy Choo / Malbon Diamond Golf/M
    X BLACK/LATTE",JCXMALBONDIAMONDMMQB013921,/en/men/shoes/jimmy-choo-malbon-diamond-golf-m/black-and-latte-embossed-leather-trainers-JCXMALBONDIAMONDMMQB013921.html?cgid=men-shoes,None,$795,None,mens-shoes.html
mens-shoes,"Diamond Maxi/M II
    V CHALK/WHITE",DIAMONDMAXIMIIRXN121879,/en/men/shoes/diamond-maxi-m-ii/chalk-nappa-leather-platform-trainers-DIAMONDMAXIMIIRXN121879.html?cgid=men-shoes,None,$650,None,mens-shoes.html
mens-shoes,"Diamond Maxi/M II
    V BLACK/BLACK",DIAMONDMAXIMIIRXN013728,/en/men/shoes/diamond-maxi-m-ii/black-nappa-leather-platform-trainers-DIAMONDMAXIMIIRXN013728.html?cgid=men-shoes,None,$650,None,mens-shoes.html
